ID,degre
METRROTT0000002269776009,2
METRROTT0000002269776243,2
METRROTT0000002269776258,3
METRROTT0000002269776473,2
METRROTT0000002269776474,2
METRROTT0000002269776628,2
METRROTT0000002269776491,2
METRROTT0000002269776707,2
METRROTT0000002269777014,2
METRROTT0000002269776924,3
METRROTT0000002269777774,4
METRROTT0000002269777893,2
METRROTT0000002269778216,3
METRROTT0000002269778443,3
METRROTT0000002269778670,2
METRROTT0000002269779758,5
METRROTT0000002269779882,2
METRROTT0000002269779887,3
METRROTT0000002269782052,2
METRROTT0000002269782652,2
METRROTT0000002269782973,2
METRROTT0000002269782992,2
METRROTT0000002269783781,2
METRROTT0000002269783782,3
METRROTT0000002269814451,2
METRROTT0000002269814757,2
METRROTT0000002275850982,2
METRROTT0000002269765466,3
METRROTT0000002269765183,3
METRROTT0000002269763566,2
METRROTT0000002269765344,3
METRROTT0000002269768016,5
METRROTT0000002269838714,2
METRROTT0000002269771983,2
METRROTT0000002269769381,2
